# beamEnergyAtTarget_MeV,tritonTargetExitEnergy_MeV,tritonTargetExitTheta_deg,tritonTargetExitPhi_deg,s3EnergyLoss_MeV,tritonThetaBeforeS3_deg,tritonPhiBeforeS3_deg,tritonEnergyAtReactionPoint_MeV,tritonThetaAtReactionPoint_deg,tritonPhiAtReactionPoint_deg,s3EnergySmeared_MeV,tritonTargetEnergyLoss_MeV
# ringGateCopyNo=-1 thetaMinDeg=130 thetaMaxDeg=133
62.796975131259487,1.6320706882687461,131.61072750538099,-164.05487933381286,1.6320706882687461,131.61072750538099,-164.05487933381286,1.8181139228722714,131.7078627886911,-163.08899201082957,1.6218266589554202,0.18604323460352523
65.498373918301212,1.9360548800516366,131.59439887158868,-152.14009471483394,1.9360548800516373,131.59439887158868,-152.14009471483394,1.9552768183380067,131.64928276122166,-151.8755612960216,1.9564570492792375,0.019221938286370088
65.745016342060495,1.9623916279297922,131.69764003817616,-10.006095093037322,1.9623916279297926,131.69764003817613,-10.006095093037322,1.97252410851479,131.7313820815624,-10.139152739245262,1.9457783106487849,0.010132480584997827
62.5043251075165,1.5773494564069677,132.18383205904473,-70.226791365224472,1.5773494564069679,132.18383205904473,-70.226791365224472,1.7779248127362735,132.09305202957088,-69.772575583564503,1.6268991677535942,0.20057535632930579
63.466779700325276,1.6792838096135851,132.31819505658643,1.5184782016287921,1.6792838096135856,132.31819505658643,1.5184782016287921,1.8245976237644754,132.42687680910191,0.78678520332755164,1.6258984589093926,0.14531381415089029
63.768497325331701,1.7170610048428829,131.86081255943188,96.82791044357981,1.7170610048428825,131.86081255943188,96.82791044357981,1.826429106089563,132.36804864800428,96.726157035317172,1.7107821029976658,0.10936810124668006
62.675929660532205,1.5958646408641977,131.99618692646354,66.160647986141797,1.5958646408641974,131.99618692646354,66.160647986141797,1.7919564004132553,132.42185973106859,66.739061690209169,1.5611308018291632,0.19609175954905766
65.542583271328752,1.9411947394991655,131.62758355119774,145.14814537537535,1.9411947394991664,131.62758355119774,145.14814537537535,1.9570700763565583,131.61225269732026,144.89377270322109,1.9702790375138073,0.01587533685739273
64.400505323685664,1.8094011923244364,131.81787345442532,109.51547259864468,1.8094011923244366,131.81787345442532,109.51547259864468,1.8983568380626821,131.85230101036998,109.54573464980203,1.9401682373454938,0.088955645738245659
64.301005897889297,1.7931403927406449,132.06305886006609,42.590350434544973,1.7931403927406451,132.06305886006609,42.590350434544973,1.885438408520713,131.88755228228354,43.369507913275086,1.9196182207664629,0.092298015780068132
